lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L6_L4C,18,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,52.49,54.32,4,-14.638,0.0100,-1.0820,high_gamma
L6_L4C,19,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,70.19,70.80,2,-10.862,0.0310,-1.5528,high_gamma
L6_L4C,20,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,95.21,99.49,8,-33.790,0.0060,-1.4602,high_gamma
L6_L4C,21,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,3.05,28.69,43,-363.254,0.0010,-2.5488,multi
L6_L4C,22,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,32.35,34.79,5,-19.330,0.0080,-1.2585,low_gamma
L6_L4C,23,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,38.45,40.28,4,-17.000,0.0090,-1.4415,low_gamma
L6_L4C,24,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,45.78,47.00,3,-11.677,0.0220,-1.3832,low_gamma
L6_L4C,25,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,59.20,60.42,3,-10.590,0.0360,-1.0397,high_gamma
L6_L4C,26,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,61.65,63.48,4,-18.269,0.0080,-1.3323,high_gamma
L6_L4C,27,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,66.53,76.29,17,-75.608,0.0030,-1.6107,high_gamma
L6_L4C,28,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,77.51,85.45,14,-66.846,0.0040,-1.5447,high_gamma
L6_L4C,29,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,86.67,87.89,3,-12.794,0.0140,-1.7077,high_gamma
L6_L4C,30,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,95.21,99.49,8,-31.628,0.0070,-1.5840,high_gamma
L6_L4C,31,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,4.27,7.32,6,-33.661,0.0060,-1.7959,theta
L6_L4C,32,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,11.60,15.26,7,-26.122,0.0070,-1.5119,multi
L6_L4C,33,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,4.27,7.32,6,-33.677,0.0060,-1.8289,theta
L6_L4C,34,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,11.60,14.65,6,-20.669,0.0080,-1.4598,multi
L6_L4C,35,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,18.92,20.14,3,-13.033,0.0140,-1.0249,beta
L6_L4C,36,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,4.88,7.32,5,-20.437,0.0080,-1.2021,theta
L6_L4C,37,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,9.16,16.48,13,-69.682,0.0040,-1.7246,multi
L6_L4C,38,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,27.47,28.69,3,-13.663,0.0120,-1.1687,beta
L6_L4C,39,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,71.41,72.63,3,-10.322,0.0400,-1.1014,high_gamma
L6_L4C,40,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,4.88,16.48,20,-102.404,0.0030,-1.7825,multi
L6_L4C,41,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,18.31,19.53,3,-12.178,0.0200,-1.1424,beta
L6_L4C,42,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,4.88,16.48,20,-105.315,0.0030,-1.8122,multi
L6_L4C,43,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,18.31,19.53,3,-11.649,0.0220,-1.2249,beta
L6_L4C,44,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,4.88,6.10,3,-21.643,0.0080,-1.9907,theta
L6_L4C,45,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,8.54,10.38,4,-19.739,0.0080,-1.9866,alpha
L6_L4C,46,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,11.60,16.48,9,-43.822,0.0040,-1.8623,multi
