lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L4C_L6,13,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,10.99,12.82,4,-15.966,0.0050,-1.5755,alpha
L5_L23,1,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,9.77,12.21,5,-19.132,0.0040,-1.1617,alpha
L5_L23,2,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,9.77,13.43,7,-26.772,0.0010,-1.2454,multi
L5_L23,3,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,14.65,16.48,4,-16.482,0.0040,-1.4551,beta
L5_L23,4,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,20.75,21.97,3,-10.056,0.0400,-1.2968,beta
L5_L23,5,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,26.86,28.08,3,-11.326,0.0160,-1.4660,beta
L5_L23,6,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,41.50,43.33,4,-15.858,0.0040,-1.4316,low_gamma
L5_L23,7,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,87.28,89.11,4,-14.598,0.0040,-1.1556,high_gamma
L5_L23,8,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,95.21,96.44,3,-10.293,0.0330,-1.3694,high_gamma
L5_L23,9,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,97.66,98.88,3,-13.732,0.0060,-1.2818,high_gamma
L5_L23,10,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,9.77,13.43,7,-26.325,0.0010,-1.2410,multi
L5_L23,11,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,14.65,16.48,4,-16.604,0.0040,-1.5052,beta
L5_L23,12,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,20.75,21.97,3,-10.400,0.0290,-1.3064,beta
L5_L23,13,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,26.86,28.69,4,-15.042,0.0040,-1.3242,beta
L5_L23,14,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,29.91,31.13,3,-11.293,0.0160,-1.2151,multi
